"Appendix C: Table C-2. Annual Fisher Price Indexes, Selected Minor Import Classes (1913=100)",,,,,,,,,,,,
,,,,,,,,,,,,
YEAR,007,008,009,010,011,019,024,026,036,047,,
1879,94.0,144.3,101.2,157.1,,184.9,87.8,95.6,74.6,,,
1880,102.1,144.4,114.6,110.8,,226.6,93.3,107.5,86.0,,,
1881,107.9,197.7,89.0,102.9,,224.7,94.3,104.9,87.1,,,
1882,114.9,131.2,73.8,104.8,,224.8,92.3,108.2,109.2,,,
1883,109.1,111.3,67.2,100.4,,203.7,88.5,104.7,99.3,,,
1884,108.4,106.1,73.3,103.8,,153.7,90.8,106.0,66.1,,,
1885,109.9,106.9,63.9,108.1,,135.5,90.5,102.2,58.6,,,
1886,99.7,101.7,65.2,106.9,,139.5,89.4,94.9,69.9,,,
1887,108.4,94.3,113.9,109.0,,123.4,93.6,84.9,71.1,,,
1888,96.2,84.8,100.3,106.3,,142.1,94.3,75.4,63.4,,,
1889,86.6,81.3,115.8,94.9,155.8,176.9,94.3,71.0,59.7,,,
1890,105.7,85.5,133.6,101.4,165.0,146.0,96.2,63.2,74.2,,,
1891,113.1,87.6,124.2,116.7,165.0,147.9,76.4,59.5,74.8,84.6,,
1892,114.1,85.2,113.7,114.3,137.5,143.9,83.2,56.3,67.3,81.1,,
1893,101.2,86.3,132.3,129.2,146.7,159.8,89.6,53.5,73.7,80.7,,
1894,78.3,74.1,125.9,94.0,165.0,128.0,93.7,55.0,69.6,77.7,,
1895,79.6,73.8,122.4,84.5,137.5,94.7,86.1,60.0,70.2,76.9,,
1896,74.1,69.5,103.4,77.1,165.0,116.3,85.4,63.3,70.4,76.3,,
1897,76.4,73.2,76.5,85.7,110.0,100.7,102.2,63.6,78.6,74.6,,
1898,78.5,75.3,54.3,114.0,119.2,111.9,106.1,71.2,89.7,75.3,,
1899,77.5,67.8,52.0,108.3,119.2,121.2,108.7,72.6,96.2,75.5,,
1900,81.3,66.3,61.7,112.7,137.5,121.0,100.3,77.2,88.6,81.4,,
1901,71.8,69.6,53.3,105.5,126.7,104.8,93.0,79.4,78.0,87.6,,
1902,70.8,72.7,55.3,101.3,121.9,78.5,85.5,79.4,75.7,83.8,,
1903,73.1,99.8,51.3,96.7,125.0,89.5,87.0,80.4,94.1,87.8,,
1904,69.0,85.8,64.0,95.5,114.0,99.6,89.0,81.9,105.7,88.0,,
1905,66.0,84.0,68.6,89.0,99.5,134.5,91.6,84.7,113.0,88.4,,
1906,79.4,85.2,68.7,92.7,95.5,99.7,107.4,92.6,119.3,88.1,,
1907,87.8,91.2,62.2,138.7,91.6,105.5,116.2,96.4,113.2,90.5,,
1908,74.9,88.9,62.3,105.6,89.3,116.9,113.4,79.4,92.4,87.0,,
1909,72.2,86.0,61.8,87.1,89.9,116.1,103.7,83.8,137.5,84.0,,
1910,84.9,92.0,74.7,82.4,92.6,113.2,102.9,87.2,169.2,86.8,,
1911,91.6,95.4,98.9,85.9,97.1,119.2,109.4,85.7,132.8,90.2,,
1912,91.1,98.7,112.8,87.5,101.4,134.8,105.4,90.7,125.2,92.1,,
1913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
1914,94.3,101.2,84.4,85.3,99.8,115.2,98.3,102.4,76.0,91.3,,
1915,89.8,108.9,75.4,107.5,97.0,166.3,89.2,99.9,77.5,82.5,,
1916,99.7,108.6,82.9,110.7,99.2,201.7,102.6,116.8,91.5,97.6,,
1917,105.4,121.0,77.6,84.0,109.9,220.5,124.0,168.8,89.2,131.7,,
1918,129.5,133.8,77.0,83.5,121.4,229.5,153.3,151.1,70.1,194.0,,
1919,169.2,149.6,159.6,117.3,123.4,275.1,177.6,204.7,63.1,214.5,,
1920,171.3,153.4,158.5,125.1,140.8,616.0,189.1,240.5,67.2,226.1,,
1921,126.8,109.2,86.7,60.0,126.3,193.5,182.4,94.2,27.9,155.5,,
1922,120.5,142.0,105.1,73.5,123.0,127.3,155.5,101.7,23.7,157.5,,
1923,100.2,166.5,109.9,64.6,132.5,242.1,171.0,114.9,41.9,137.8,,
,,,,,,,,,,,,
YEAR,049,051,053,054,056,057,059,062,063,065,,
1879,,91.9,117.4,86.0,89.7,144.0,108.3,121.8,51.5,,,
1880,,99.0,120.5,104.1,90.8,137.4,105.9,141.3,58.9,,,
1881,,98.1,114.4,94.4,91.2,133.3,108.8,126.6,63.3,,,
1882,,105.9,116.1,91.3,91.6,142.5,107.1,117.8,72.8,,,
1883,,101.8,117.1,85.7,86.9,122.8,108.3,115.8,72.0,,,
1884,,91.1,104.4,82.8,86.6,118.4,100.3,109.0,68.6,,,
1885,,81.5,97.1,75.4,83.3,111.1,94.7,103.0,64.5,,,
1886,,78.4,91.9,72.4,81.0,120.6,94.8,90.5,66.7,,,
1887,,93.6,93.8,85.5,83.4,122.7,93.6,83.7,67.2,,,
1888,,99.9,89.6,78.6,79.9,109.6,92.6,88.3,66.3,,,
1889,63.9,112.2,93.8,81.4,78.6,114.1,97.0,93.6,66.8,149.5,,
1890,59.8,90.9,91.5,83.3,77.8,126.3,95.8,91.4,63.5,165.6,,
1891,56.8,90.3,91.5,75.4,78.6,103.0,91.4,84.8,59.9,166.3,,
1892,60.5,79.6,89.5,69.7,75.3,112.3,96.2,84.6,62.9,171.3,,
1893,55.3,79.2,90.2,70.6,74.8,117.6,101.9,86.0,62.4,177.7,,
1894,54.8,56.9,86.6,63.4,73.8,88.5,91.2,90.9,66.2,161.1,,
1895,52.8,49.7,78.9,66.2,75.3,97.3,93.5,85.8,60.4,108.6,,
1896,54.1,50.3,84.5,71.1,79.3,97.2,89.0,82.0,58.1,74.3,,
1897,53.5,45.7,83.0,69.6,75.2,89.5,91.0,79.7,55.2,77.3,,
1898,49.5,65.5,83.8,67.9,73.6,98.2,90.9,80.4,54.9,75.6,,
1899,56.5,83.8,85.0,64.2,77.7,112.8,100.3,84.5,57.2,92.5,,
1900,61.5,103.3,93.7,75.7,81.9,120.7,97.9,88.3,67.2,98.1,,
1901,64.8,84.8,92.6,60.7,82.3,100.2,93.1,85.4,74.8,96.1,,
1902,56.4,108.6,91.3,59.9,82.1,105.8,97.1,87.5,80.3,90.0,,
1903,57.9,99.3,91.9,74.3,82.5,115.3,96.3,86.2,82.2,90.2,,
1904,58.3,106.2,95.7,82.1,83.2,103.2,95.0,84.9,83.7,96.8,,
1905,64.6,108.5,93.3,94.7,84.7,110.1,97.1,93.9,84.6,99.2,,
1906,81.5,107.2,97.7,101.7,88.9,119.8,95.9,94.4,91.2,100.3,,
1907,92.4,106.7,104.4,106.6,91.3,142.6,100.7,84.3,103.5,101.7,,
1908,70.2,83.5,100.9,79.6,89.2,106.9,97.0,85.0,104.2,102.8,,
