Indexes of minor import classes (Lipsey 1963),,SITC Revision 2
001,"Crude animal foods, agricultural",001(excl. 0015)
001,,0251
002,"Crude animal foods, nonagricultrual",034
002,,036
003,Hay,0811
004,Grains,041
004,,0421
004,,043
004,,044
004,,045
004,,0812
005,"Vegetables, crude",054
005,,2222
006,"Spices, crude",075
007,"Fruits and nuts, crude, except bananas",2221
007,,057(excl. 0573)
008,Tea,074
009,Coffee,071
010,Cocoa or cacao beans,0721
011,Bananas,0573
012,"Manufactured animal foods, agricultural",01
012,,02(excl. 025.1)
013,"Manufactured animal foods, nonagricultural",035
013,,037
014,Flour and other grain products,0422
014,,046
014,,047
014,,048
015,"Fruits, processed",058(excl. 058.5)
016,"Vegetable oil, cake, and meal, edible",0723
016,,0813
016,,4233
016,,4234
016,,4235
017,"Vegetables and products, manufactured",056
017,,098
018,"Cocoa and chocolate, prepared",0722
018,,073
019,"Sugar, except refined, and related products",0611
019,,0615
020,"Sugar, refined, and related products",0612
020,,0616
020,,0619
020,,062
021,"Beverages, agricultural",112(excl. 1124)
021,,0585
022,"Beverages, nonagricultural",111
022,,1124
023,"Spices, ground",
024,"Tobacco, crude",121
025,Manufactured tabacco products,122
026,"Hides, leather and products, crude",211
027,"Hides, leather and products, semimanufatured",611
028,"Hides, leather, and products, manufactured",612
028,,831
028,,8481
028,,85
029,"Furs, unmanufactured",212
030,"Furs, semimanufactured",613
030,,8483
031,"Other animal products, crude, agricultural",0015
031,,0913
031,,0914
031,,29111
031,,2919(excl. 291.97)
031,,4311
031,,4312
032,"Other animal products, crude, nonagricultural",29115
032,,29116
033,"Other animal products, semimanufactured, agricultural",43144
033,,5922
034,"Other animal products, semimanufactured, nonagricultural",411
035,"Other animal products, manufactured, nonagricultrual",29197
035,,89911
036,"Rubber and related gums, crude",232
037,"Rubber and related gums, manufactured",233
037,,621
037,,625
037,,628
038,"Oilseeds, crude",2223
038,,2224
038,,2225
038,,2226
038,,2231
038,,2234
038,,2235
038,,2238
039,"Vegetable oils, expressed, and fats, semimanufactured",42
040,"Other vegetable products, crude, agricultural",2232
040,,292(excl. 292.2/3)
040,,43143
041,"Other vegetable products, crude, nonagricultural",2922
041,,2923
042,"Other vegetable products, semimanufactured, agricultural",5921
043,"Other vegetable products, semimanufactured, nonagricultural",5322
044,"Other vegetable products, manufactured, agricultural",2239
044,,551
045,"Cotton textiles, crude",2631
045,,2632
046,"Cotton textiles, semimanufactured",2633
046,,2634
046,,6513
047,"Cotton textiles, manufactured",652
047,,65522
047,,65821
047,,65832
047,,65841
047,,65843
047,,65845
047,,65848
047,,84222
047,,84232
047,,84242
047,,84293
047,,84312
047,,84322
047,,84332
047,,84342
047,,84351
047,,84393
047,,84411
047,,84421
047,,84431
047,,84512
047,,84522
047,,84592
047,,8462
047,,84711
048,"Jute and products, crude",264
049,"Jute textiles, semimanufactured",65198
049,,6545
050,"Jute textiles, manufactured",6581
051,"Other vegetable fibers, crude",265
052,"Other vegetable fibers, semimanufactured",6519(excl. 651.98)
053,"Other vegetable textiles, manufactured",6544
053,,65498
053,,65499
053,,6551
053,,65529
053,,6553
053,,656
053,,657
053,,65839
053,,65842
053,,65844
053,,65846
053,,65849
