occ1950,Label,Metallic? (Zagreb),Iron-ore-facing?
,"Professional, Technical:",,
0,Accountants and auditors,,
1,Actors and actresses,,
2,Airplane pilots and navigators,,
3,Architects,,
4,Artists and art teachers,,
5,Athletes,,
6,Authors,,
7,Chemists,,
8,Chiropractors,,
9,Clergymen,,
10,College presidents and deans,,
,Professors and instructors:,,
12,Agricultural sciences,,
13,Biological sciences,,
14,Chemistry,,
15,Economics,,
16,Engineering,,
17,Geology and geophysics,,
18,Mathematics,,
19,Medical sciences,,
23,Physics,,
24,Psychology,,
25,Statistics,,
26,Natural science (n.e.c.),,
27,Social sciences (n.e.c.),,
28,Non-scientific subjects,,
29,Subject not specified,,
31,Dancers and dancing teachers,,
32,Dentists,,
33,Designers,,
34,Dietitians and nutritionists,,
35,Draftsmen,,
36,Editors and reporters,,
41,"Engineers, aeronautical",,
42,"Engineers, chemical",,
43,"Engineers, civil",,
44,"Engineers, electrical",,
45,"Engineers, industrial",,
46,"Engineers, mechanical",,
47,"Engineers, metallurgical, metallurgists",x,
48,"Engineers, mining",,
49,Engineers (n.e.c.),,
51,Entertainers (n.e.c.),,
52,Farm and home management advisors,,
53,Foresters and conservationists,,
54,Funeral directors and embalmers,,
55,Lawyers and judges,,
56,Librarians,,
57,Musicians and music teachers,,
58,"Nurses, professional",,
59,"Nurses, student professional",,
61,Agricultural scientists,,
62,Biological scientists,,
63,Geologists and geophysicists,,
67,Mathematicians,,
68,Physicists,,
69,Miscellaneous natural scientists,,
70,Optometrists,,
71,Osteopaths,,
72,Personnel and labor relations workers,,
73,Pharmacists,,
74,Photographers,,
75,Physicians and surgeons,,
76,Radio operators,,
77,Recreation and group workers,,
78,Religious workers,,
79,"Social and welfare workers, except group",,
81,Economists,,
82,Psychologists,,
83,Statisticians and actuaries,,
84,Miscellaneous social scientists,,
91,Sports instructors and officials,,
92,Surveyors,,
93,Teachers (n.e.c.),,
94,"Technicians, medical and dental",,
95,"Technicians, testing",,
96,Technicians (n.e.c.),,
97,Therapists and healers (n.e.c.),,
98,Veterinarians,,
99,"Professional, technical and kindred workers (n.e.c.)",,
,Farmers:,,
100,Farmers (owners and tenants),,
123,Farm managers,,
,"Managers, Officials, and Proprietors:",,
200,"Buyers and department heads, store",,
201,"Buyers and shippers, farm products",,
203,"Conductors, railroad",,
204,Credit men,,
205,"Floormen and floor managers, store",,
210,"Inspectors, public administration",,
230,"Managers and superintendents, building",,
240,"Officers, pilots, pursers and engineers, ship",,
250,"Officials and administrators (n.e.c.), public administration",,
260,"Officials, lodge, society, union, etc.",,
270,Postmasters,,
280,Purchasing agents and buyers (n.e.c.),,
290,"Managers, officials, and proprietors (n.e.c.)",,
,Clerical and Kindred,,
300,Agents (n.e.c.),,
301,"Attendants and assistants, library",,
302,"Attendants, physician's and dentist's office",,
304,"Baggagemen, transportation",,
305,Bank tellers,,
310,Bookkeepers,,
320,Cashiers,,
321,"Collectors, bill and account",,
